latitude,longitude
47.044011,-122.822404
47.443377,-122.296229
47.673347,-117.388933
47.65579218,-117.4236637
47.614744,-122.193162
47.545324,-122.0195
47.675897,-122.091237
47.761878,-122.191915
47.679224,-122.12995
47.672359,-122.099034
47.734211,-122.147041
47.338754,-122.221114
48.75573,-122.45411
47.562162,-122.684286
47.45832,-122.33325
47.778229,-122.344838
47.03101,-122.9298
46.236607,-119.128998
48.10274,-123.34307
47.20763,-122.29502
47.44822,-122.21915
47.739021,-117.409937
47.65722,-117.31236
47.21972,-122.48567
45.64821,-122.59841
46.047464,-118.353406
47.616104,-122.19696
47.61434,-122.194037
47.604115,-122.332907
47.434021,-122.273183
47.22213,-122.478493
47.255854,-122.44172
47.568886,-122.145268
47.424222,-122.256619
47.443255,-122.212445
47.444606,-122.214491
47.483635,-122.170748
47.474537,-122.204976
47.253809,-122.437429
47.245934,-122.43398
47.778229,-122.344838
47.90272981640562,-122.2469883724914
47.03101,-122.9298
46.236607,-119.128998
47.20763,-122.29502
47.44822,-122.21915
47.606684,-122.332664
47.604906,-122.330278
47.582934,-122.323106
47.622085,-122.347124
47.699613,-122.341922
47.57952,-122.321401
47.565149,-122.353024
47.21972,-122.48567
47.562162,-122.684286
47.45832,-122.33325
45.64821,-122.59841
46.590246,-120.500687
46.590246,-120.500687
47.868914,-121.987449
45.63017,-122.504
47.54527283,-122.3087234
47.598663,-122.331009
48.437569,-122.325494
47.547047,-122.063633
48.08536,-123.1135
47.4847291,-122.1774112
48.594482,-120.406494
47.613883,-122.339405
47.605599,-122.330626
47.8399,-120.0199
48.476543,-120.180796
48.421424,-119.503978
47.758434,-120.742416
45.748069,-122.662816
47.620793,-122.192469
47.443123,-122.212538
47.557801,-122.675335
46.051228,-122.301754
47.56358,-122.62531
46.761214,-122.040397
46.755816,-122.120894
48.989751,-122.773271
47.619772,-122.197194
48.783478,-122.484131
47.61984,-122.19603
47.62313,-122.331442
47.840838,-120.018402
46.141922,-122.940192
47.638269,-122.191294
47.658961,-122.3185
47.658409,-122.318392
47.40087,-120.27887
47.40087,-120.27887
47.716056,-122.179455
47.714435,-122.179399
47.714793,-122.176869
46.213233,-119.162367
47.594042,-122.323977
47.890423,-122.286971
47.83522282290976,-120.068983390213
47.519113,-121.841787
47.427713,-120.312139
46.7252937,-122.9742834
48.731184,-122.4712335
46.2757149,-122.910486
48.4554794,-122.3407875
45.8176127,-122.683566
47.7111533,-121.360832
47.707951,-122.321496
48.093634,-122.813252
48.103061,-122.794143
48.113018,-122.760544
47.611711,-122.187292
47.625092,-117.53956
47.716066,-122.179613
47.624921,-122.51934
48.079897,-123.098996
47.252117,-122.437452
47.616684,-119.287843
47.609528,-122.326393
47.62419,-122.517509
47.616552,-122.342727
47.759501,-122.193075
47.757842,-122.190719
47.313989,-122.300707
47.238785,-122.426722
47.577051,-122.125164
47.610087,-122.322114
47.6232795,-122.354922
47.469258,-122.338762
47.630989,-117.540534
46.993561,-122.907761
47.5955952,-120.6642262
47.8621458,-121.8166013
47.207769,-121.0193577
47.4231982,-121.4126014
47.66159,-122.324877
47.606106,-122.333782
47.225367,-122.47265
47.707294,-122.174855
47.707294,-122.174855
47.034344,-122.89857
47.573641,-122.223648
46.732394,-117.164374
46.729675,-117.161393
48.391109,-122.496837
47.56415,-122.630287
47.5501,-122.6401
47.5501,-122.6401
46.731746,-117.157928
48.362102,-120.121376
46.759919,-121.981984
47.595546,-122.31163
47.595392,-122.311507
47.423319,-122.298723
47.42327,-122.298719
48.537035,-121.758653
47.661471,-122.299298
47.599,-122.330804
47.469303,-122.338464
47.534915,-122.037552
47.60872,-122.336023
48.750857,-122.479518
46.729734,-117.156333
47.614294,-122.201255
47.614098,-122.200729
48.6735,-121.244711
47.652922,-118.150361
47.812524,-122.540217
47.504444,-122.516388
47.605953,-122.037391
47.613367,-122.194775
48.009356,-119.672953
48.705586,-119.438406
47.612468,-122.194308
47.606215,-122.037426
47.531819,-120.300871
47.565076,-122.32205
47.604394,-122.328735
47.520043,-122.344155
47.702714,-122.334822
47.538387,-122.293403
47.61309,-122.206569
48.418198,-122.334391
47.652783,-117.434917
47.622264,-122.342164
47.58065,-122.14343
47.757838,-122.190947
47.608495,-122.333054
47.571386,-122.164808
47.616971,-122.203009
